51,"$112,419 ","01864 / 15,249",,01864,1864,42.58,-71.08,,"$112,419 ",01864,42.58,-71.08
52,"$112,115 ","02494 / 9,377",,02494,2494,42.3,-71.23,,"$112,115 ",02494,42.3,-71.23
53,"$112,104 ","01756 / 5,895",,01756,1756,42.1,-71.55,,"$112,104 ",01756,42.1,-71.55
54,"$111,806 ","01922 / 2,649",,01922,1922,42.75,-70.93,,"$111,806 ",01922,42.75,-70.93
55,"$111,788 ","01590 / 9,014",,01590,1590,42.15,-71.76,,"$111,788 ",01590,42.15,-71.76
56,"$111,652 ","01460 / 9,157",,01460,1460,42.53,-71.47,,"$111,652 ",01460,42.53,-71.47
57,"$110,781 ","01568 / 7,453",,01568,1568,42.17,-71.61,,"$110,781 ",01568,42.17,-71.61
58,"$110,671 ","02061 / 10,651",,02061,2061,42.16,-70.78,,"$110,671 ",02061,42.16,-70.78
59,"$110,284 ","02199 / 1,359",,02199,2199,42.35,-71.08,,"$110,284 ",02199,42.35,-71.08
60,"$109,841 ","02053 / 12,965",,02053,2053,42.16,-71.43,,"$109,841 ",02053,42.16,-71.43
61,"$109,099 ","01940 / 12,704",,01940,1940,42.53,-71.04,,"$109,099 ",01940,42.53,-71.04
62,"$108,558 ","01982 / 8,098",,01982,1982,42.62,-70.86,,"$108,558 ",01982,42.62,-70.86
63,"$108,350 ","01746 / 14,008",,01746,1746,42.2,-71.43,,"$108,350 ",01746,42.2,-71.43
64,"$107,111 ","01532 / 14,644",,01532,1532,42.31,-71.64,,"$107,111 ",01532,42.31,-71.64
65,"$107,083 ","02763 / 1,602",,02763,2763,41.97,-71.31,,"$107,083 ",02763,41.97,-71.31
66,"$106,989 ","02356 / 12,923",,02356,2356,42.05,-71.1,,"$106,989 ",02356,42.05,-71.1
67,"$106,898 ","01833 / 8,379",,01833,1833,42.73,-70.98,,"$106,898 ",01833,42.73,-70.98
68,"$106,296 ","01106 / 16,077",,01106,1106,42.04,-72.57,,"$106,296 ",01106,42.04,-72.57
69,"$106,172 ","02478 / 25,110",,02478,2478,42.39,-71.18,,"$106,172 ",02478,42.39,-71.18
70,"$105,646 ","01949 / 9,273",,01949,1949,42.6,-71.01,,"$105,646 ",01949,42.6,-71.01
71,"$105,106 ","02466 / 8,973",,02466,2466,42.34,-71.24,,"$105,106 ",02466,42.34,-71.24
72,"$104,472 ","01867 / 24,687",,01867,1867,42.53,-71.1,,"$104,472 ",01867,42.53,-71.1
73,"$104,393 ","02109 / 3,993",,02109,2109,42.37,-71.05,,"$104,393 ",02109,42.37,-71.05
74,"$104,275 ","02066 / 18,002",,02066,2066,42.18,-70.73,,"$104,275 ",02066,42.18,-70.73
75,"$104,014 ","02142 / 3,030",,02142,2142,42.36,-71.08,,"$104,014 ",02142,42.36,-71.08
76,"$103,996 ","01719 / 5,102",,01719,1719,42.5,-71.5,,"$103,996 ",01719,42.5,-71.5
77,"$103,800 ","02460 / 9,591",,02460,2460,42.35,-71.2,,"$103,800 ",02460,42.35,-71.2
78,"$103,693 ",02669 / 287,,02669,2669,41.68,-69.99,,"$103,693 ",02669,41.68,-69.99
79,"$103,411 ","01824 / 25,582",,01824,1824,42.59,-71.36,,"$103,411 ",01824,42.59,-71.36
80,"$103,350 ","02043 / 22,550",,02043,2043,42.23,-70.88,,"$103,350 ",02043,42.23,-70.88
81,"$102,721 ","01721 / 16,985",,01721,1721,42.25,-71.46,,"$102,721 ",01721,42.25,-71.46
82,"$102,614 ","01612 / 4,879",,01612,1612,42.31,-71.93,,"$102,614 ",01612,42.31,-71.93
83,"$102,422 ","01505 / 4,399",,01505,1505,42.35,-71.73,,"$102,422 ",01505,42.35,-71.73
84,"$101,980 ","02038 / 32,393",,02038,2038,42.08,-71.38,,"$101,980 ",02038,42.08,-71.38
85,"$101,863 ","01342 / 1,577",,01342,1342,42.55,-72.6,,"$101,863 ",01342,42.55,-72.6
86,"$101,205 ","01519 / 6,573",,01519,1519,42.2,-71.68,,"$101,205 ",01519,42.2,-71.68
87,"$100,709 ","01945 / 20,163",,01945,1945,42.5,-70.85,,"$100,709 ",01945,42.5,-70.85
88,"$100,552 ","01581 / 18,481",,01581,1581,42.26,-71.61,,"$100,552 ",01581,42.26,-71.61
89,"$100,544 ","01845 / 28,963",,01845,1845,42.7,-71.11,,"$100,544 ",01845,42.7,-71.11
